"","X685.2_CTRL","X697.3_CTRL","X697.1_CTRL","X468.4_CTRL","X468.4_LPS","X685.2_LPS","X697.3_LPS","X697.1_LPS","X685.1_CTRL","X697.5_CTRL","X697.2_CTRL","X468.6_CTRL","X697.5_LPS","X697.2_LPS","X685.1_LPS","X468.6_LPS","Gene_name"
"PKNOX2",163.387575103854,230.905270242211,238.137338791721,97.3627233833744,36.1543014317757,82.2903216350142,217.069705570668,201.210748702517,73.5148784365089,48.1314411935424,127.615378939843,88.2294953536293,36.2747877572757,99.9870818181601,64.7721251509965,144.705984759263,"PKNOX2"
"PKP1",2.57303267880086,1.11012149154909,2.29714474718702,5.75801052267268,5.16490020453938,5.81850759035454,1.63210304940352,10.2231789179108,15.2280819618483,1.9252576477417,5.15617692686236,8.82294953536293,10.2941965257134,4.34726442687653,8.83256252059044,7.31659473501891,"PKP1"
"PKP2",414.258261286938,741.561156354793,479.337537246358,487.860527920995,449.346317794926,474.62397629892,696.908002095301,453.537391994589,793.960687114296,431.25771309414,683.623124219834,317.626183273065,237.256719925966,299.96124545448,452.750612166562,194.29623796328,"PKP2"
"PKP3",29.5898758062098,36.0789484753455,30.6285966291603,54.9628277164211,41.3192016363151,42.391983872583,21.2173396422457,26.0226372455912,54.0859462782887,48.1314411935424,44.2571852889019,70.5835962829034,62.7455788233959,34.7781154150122,55.285298739992,79.6695871146504,"PKP3"
"PKP4",1142.42650938758,1092.35954768431,1105.69233831269,1286.65362406631,1379.02835461202,1184.48190232217,1184.90681386695,1057.63432805296,1177.81337380778,2034.99733366297,1794.77925195867,1102.86869192037,2091.68269405805,1814.98289822095,1235.57735704704,1405.59914409419,"PKP4"
"PLA1A",16.7247124122056,46.0700418992873,14.5485833988511,21.4616755845073,82.6384032726301,18.2867381411143,65.2841219761406,22.3051176390781,17.8536133345807,48.1314411935424,27.0699288660274,26.4688486060888,132.844155165158,113.02887509879,49.7240556714721,32.5181988223063,"PLA1A"
"PLA2G12A",420.69084298394,355.238877295709,350.697431403885,508.27529250138,521.654920658478,439.712930756793,363.958980016984,357.346572176064,643.780292594,500.566988412841,455.891976616747,688.190063758308,504.905829594514,467.330925889227,610.101077811154,594.270083477647,"PLA2G12A"
"PLA2G15",1047.22430027195,1162.85226239767,1079.6580311779,2183.33289909707,1296.38995133939,915.168122425763,1171.84998947172,981.889866070252,1215.62102557513,3451.98696240086,3155.15059782919,1288.15063216299,1199.02879532833,867.279253161867,505.418855344897,728.407653619661,"PLA2G15"
"PLA2G16",151.80892804925,208.147779665455,179.177290280588,218.280944359501,433.851617181308,330.823717280158,377.015804412212,386.15734912654,147.029756873018,394.677817787048,387.142950925249,299.98028420234,938.242483343592,1228.10220059262,330.730396604331,336.56335781087,"PLA2G16"
"PLA2G2E",9.00561437580299,2.22024298309818,6.12571932583206,6.80492152679499,10.3298004090788,4.15607685025324,6.52841219761406,5.11158945895541,4.72595647091843,9.62628823870848,5.15617692686236,35.2917981414517,12.7451956985023,2.17363221343826,3.59845139727759,13.0072795289225,"PLA2G2E"
"PLA2G3",10.2921307152034,12.21133640704,18.3771579774962,7.32837702885614,5.16490020453938,5.81850759035454,16.3210304940352,16.2641482784945,12.6025505891158,5.77577294322509,5.58585833743422,35.2917981414517,5.88239801469336,2.17363221343826,5.88837501372696,4.87772982334594,"PLA2G3"
"PLA2G4A",3330.79080270771,3489.66690868457,3411.25994957273,4420.05825940438,4441.81417590387,3959.91002292129,3153.22309144759,3898.28399737972,2946.37130648037,4493.55134982912,3014.64477657219,5629.04180356155,4888.27275021019,4008.17780158016,3553.30718883901,6558.10774748862,"PLA2G4A"
"PLA2G4C",11.5786470546038,4.44048596619637,4.59428949437404,6.28146602473384,20.6596008181575,20.7803842512662,11.4247213458246,23.2344975407064,6.30127529455791,3.85051529548339,4.7264955162905,8.82294953536293,12.2549958639445,21.7363221343826,9.8139583562116,5.6906847939036,"PLA2G4C"
"PLA2G4F",5.14606535760171,1.11012149154909,3.06285966291603,3.14073301236692,10.3298004090788,2.49364611015194,1.63210304940352,3.2528296556989,2.62553137273246,5.77577294322509,2.14840705285932,8.82294953536293,3.92159867646224,8.69452885375306,4.25271528769169,3.25181988223063,"PLA2G4F"
"PLA2G6",689.572757918629,759.323100219579,623.291941403412,603.020738374448,604.293323931108,664.141080670468,941.723459505829,677.517948286999,577.616902001142,481.314411935424,484.25094971449,723.48186189976,477.944838693836,386.906533992011,524.719640112113,632.478967093857,"PLA2G6"
"PLA2G7",353.791993335118,343.027540888669,395.108896516168,1297.12273410754,1399.68795543017,433.063207796388,336.213228177124,329.000485176403,655.857736908569,4154.70600382658,2418.24697869845,1041.10804517283,3869.14729416456,2597.49049505873,696.136779400609,1225.93609560095,"PLA2G7"
"PLA2R1",849.100784004282,1674.06320925603,1059.74944336895,1040.10608259551,1022.6502404988,716.507648983659,1663.11300734218,973.060757004784,557.137757293828,515.969049594775,457.610702259034,388.209779555969,451.964247462273,506.456305731116,490.370785865373,333.311537928639,"PLA2R1"
"PLAA",2437.94846316381,2243.00047367494,2313.22476041733,2478.56180225956,2401.67859511081,2437.1234649885,2190.28229229952,2546.50093046142,2374.00546722469,2735.79111744095,2439.73104922704,2205.73738384073,2832.37464407486,3012.65424782543,2916.70842346609,2646.16842916517,"PLAA"
"PLAC8",1169.44335251499,2690.934495515,1441.07547140199,872.600321935942,981.331038862483,1129.62168789883,2498.74976863678,1611.5447494234,82.9667913783458,275.311843627063,209.254846948497,282.334385131614,425.003256561596,299.96124545448,97.4853196717019,243.886491167297,"PLAC8"
"PLAG1",349.932444316916,336.366811939375,446.411795870011,249.68827448317,134.287405318024,369.059624302488,288.882239744422,461.901811109243,175.385495698528,179.048961239978,194.645678989054,149.99014210117,170.09934259155,321.697567588863,193.007847672161,174.785318669896,"PLAG1"
