"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Map4",9991.68096210074,-0.491225517940586,0.0700401738211527,-7.01348227939766,2.32458420250954e-12,3.32519317039333e-10
"Vill",267.525257029856,2.62564068851822,0.374958700760859,7.00247969493792,2.51471340715482e-12,3.56532951292278e-10
"C1qtnf3",316.686400513486,-2.45949876522906,0.351609605871505,-6.99497034255623,2.65315046732599e-12,3.72860733658155e-10
"Adamtsl3",296.784153049993,-4.62245643560682,0.661870428021762,-6.9839295425582,2.87036055929643e-12,3.99878665395548e-10
"Pcdh19",865.632424301209,-1.80150492518501,0.258469485268494,-6.96989404112303,3.17179782834957e-12,4.34319427418705e-10
"Snhg12",514.199927125311,-0.904721897440064,0.12978651536604,-6.97084666221642,3.15039202446103e-12,4.34319427418705e-10
"Fam49a",2264.26396468599,1.53675583410145,0.220554191066304,6.96770180005088,3.22160163401242e-12,4.37400676089094e-10
"Mrc2",2787.0417023458,-1.77286048638889,0.25467216904058,-6.96134364845495,3.37042484480535e-12,4.5376114654308e-10
"Sos2",939.661559160798,0.550115035608029,0.0791276117481216,6.95225122374666,3.59502446658911e-12,4.79965724826868e-10
"Chst7",146.022471047878,-1.82408911386553,0.262494025820576,-6.94906906228927,3.67704520991702e-12,4.86859019075046e-10
"Xdh",4817.13404753165,1.81714224773345,0.262105861709241,6.93285619742928,4.12427401975856e-12,5.41598312053704e-10
"Rpl39",596.680851041454,-0.852800521237675,0.123059285213907,-6.92999735660175,4.20848484163955e-12,5.48163704454531e-10
"Nsg1",197.720727337628,-4.0192364039799,0.581143690490865,-6.91608025647674,4.64311419435077e-12,5.99897842803981e-10
"Plcd1",826.567436353324,-1.05227205215132,0.152316517623194,-6.9084566045192,4.89954814562501e-12,6.27965286728466e-10
"Pdia6",6938.86834720364,-0.586078845246745,0.0849104378846026,-6.90231801705292,5.1160741745688e-12,6.50512891672751e-10
"C2",1435.41036239239,2.55334945493627,0.370120837710148,6.89869144016114,5.24837280947974e-12,6.62080163627362e-10
"Six1",76.603268739727,-4.16638466410103,0.604515039406767,-6.89211085333734,5.49705088347159e-12,6.88033220344518e-10
"Igfbp7",9181.64393977368,-0.986032961588042,0.143487522022551,-6.87190738044156,6.33490826640887e-12,7.86756320435167e-10
"Tvp23a",175.007713889591,-1.21560557967585,0.176924697018076,-6.87075123012167,6.38646820168355e-12,7.87058515839786e-10
"Bsg",12470.1259741871,-0.640779760617362,0.0932903829069607,-6.868658275917,6.48085423032379e-12,7.92593630717691e-10
"Rab6b",1170.1773296821,2.65940971963027,0.387572592396637,6.86170738540938,6.80423314974132e-12,8.25838024939437e-10
"Aldh1l2",1554.70147958967,-1.98014191079215,0.289604637714703,-6.83739710253827,8.06449727078252e-12,9.71438426881253e-10
