"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ifi204",1640.49212725296,5.05587009027985,0.685703000252813,7.37326523059661,1.66498768832266e-13,1.34454579552089e-11
"Zc3h12c",1143.97351767392,2.83177106069747,0.385011260859066,7.35503438101788,1.90877981202202e-13,1.53304065554681e-11
"Pou3f1",62.9116356326816,5.52012809202088,0.750973229009038,7.35063232454382,1.97271375160715e-13,1.57582507141894e-11
"Trim30a",1770.65533475586,4.58515372193647,0.624204463207114,7.3455958619365,2.04844451586444e-13,1.62752220728197e-11
"Slfn9",755.141907192295,4.4708463206638,0.60932842109812,7.33733429438024,2.17889906511645e-13,1.72191285477491e-11
"Cnr2",52.6107976417377,-5.42592203699643,0.740507032986687,-7.32730655522886,2.3482426460119e-13,1.84586860759382e-11
"Gbp10",65.7478976686816,6.63783808087587,0.906006786862997,7.32647721531872,2.36281343591768e-13,1.84749507703659e-11
"Phf11b",142.154713813725,5.51914045442032,0.753922568900238,7.3205667028528,2.46925935617457e-13,1.92056393502883e-11
"Rffl",509.111991079929,1.72534668646472,0.236249304850255,7.30307624633361,2.81261687222652e-13,2.17617026899285e-11
"Icosl",523.46454373964,3.79993524484728,0.522577818104634,7.27152036155968,3.55463782200953e-13,2.73596029862796e-11
"Map4k4",8680.01777836094,0.716949451863227,0.0989528247477362,7.24536620041894,4.31272345582228e-13,3.30225011555138e-11
"Ablim2",84.3741175930716,3.15440618056138,0.436710345532354,7.22310843521723,5.08124639067595e-13,3.87065253409326e-11
"F830016B08Rik",766.517856428686,7.11976310936165,0.988585634225162,7.20196901803252,5.93491802663808e-13,4.4835563704809e-11
"Psme2",787.275075391113,2.00356830602167,0.278207581885534,7.2017027445572,5.94652218577789e-13,4.4835563704809e-11
"Arhgap19",668.206240576182,-3.41313526511778,0.474176523609058,-7.19802667398985,6.10901958002659e-13,4.5826949925702e-11
"Rrs1",897.299620677274,1.31809065528108,0.183208956150804,7.19446626941166,6.27055658087131e-13,4.68011541172304e-11
"Rnf144b",191.57479127808,-2.14724531548031,0.298663210784812,-7.18952063040469,6.50191956546467e-13,4.82841041901693e-11
"Gnl1",1510.05206116036,0.647751221671,0.0904422132905068,7.16204522317888,7.94821903380994e-13,5.87293904408216e-11
"Oas3",304.212862201797,4.58276956046482,0.640231399918428,7.1579893786039,8.1868896389273e-13,6.01919677035163e-11
"Il15ra",214.713515851617,3.77027293221258,0.527101209168876,7.152844399954,8.49979350730758e-13,6.18768218970401e-11
"Pnkd",547.181043536238,0.810541591230356,0.113311119197813,7.15323965528356,8.47534457028488e-13,6.18768218970401e-11
"Stx6",1309.94978000996,1.28704342907211,0.180461107351614,7.13197124832227,9.89415456869883e-13,7.16744197138389e-11
"Gbp9",1122.94309403986,4.52037946857418,0.636376702320404,7.1033076039579,1.21805878070401e-12,8.78071837133849e-11
"Rnf14",2869.96966944895,0.738052474471873,0.104069127498172,7.09194448166037,1.32240567773545e-12,9.48665587649246e-11
"Cish",308.446213379694,1.74073662932404,0.245993228095777,7.07635995835743,1.47990158058954e-12,1.05652104144696e-10
"Tapbpl",556.473794599025,1.89321895516418,0.267616098755184,7.07438365617945,1.50114446851792e-12,1.06653427671913e-10
"Cdan1",484.261786654172,-0.930804031397666,0.132428995986562,-7.02870262258966,2.08462733585733e-12,1.47400108944018e-10
"Ehd1",7066.4405684036,1.49511312429593,0.212779584555635,7.0265816498246,2.11654746028198e-12,1.48944468419272e-10
"AW011738",90.271504510557,3.67188767302333,0.523597793166109,7.01280204184979,2.33591853057994e-12,1.63602862772087e-10
"Ier3",4481.61577404948,1.90720651856397,0.27201081637036,7.01150985101704,2.35759888889565e-12,1.64342435755189e-10
"Iigp1",1715.44989945039,6.4471452959531,0.920003419052224,7.00774058274139,2.42197330626827e-12,1.68037190234895e-10
"Olfr56",66.2619191312168,5.10204714304427,0.728162353883549,7.00674391615172,2.43928134057412e-12,1.68447194630861e-10
"Mtss1",1061.81785202549,-1.86251411958641,0.266329252289239,-6.99327656867252,2.68539385992597e-12,1.84580234706912e-10
"Pnp",2306.77790537315,2.10259003682483,0.300925783135359,6.9870717454578,2.80682727585537e-12,1.92033766123105e-10
"Rassf2",153.24769062022,-2.61608598794139,0.375758735375003,-6.96214283702696,3.35135442970602e-12,2.28231869871869e-10
"Orai2",845.061090940255,1.13281803596875,0.162897943715987,6.95415798460798,3.54673971926716e-12,2.40429906290505e-10
"Has1",91.6854442363047,2.53527886451749,0.365202409341704,6.94211976609755,3.86259519810055e-12,2.60645807477305e-10
"Rab3il1",237.463251087372,-3.18754775353364,0.459421844280361,-6.93817195071911,3.97206081301608e-12,2.66814157703417e-10
"5430435G22Rik",1009.38646208532,-3.09284818751701,0.446050508231007,-6.93385195273724,4.09533245998896e-12,2.73849878252113e-10
"Gdf15",1018.15496701941,4.04537246802227,0.584424966164316,6.92197065873616,4.45403514547485e-12,2.96494285494718e-10
"Adar",2930.02757935303,2.02132966028653,0.292544948790541,6.90946696787366,4.86478126273563e-12,3.22384473097342e-10
"Xcr1",48.0836004088392,4.69105162608612,0.680726035881051,6.89124754867731,5.53051997849814e-12,3.64866179652882e-10
"Edn1",453.693319786798,3.43695024355085,0.4989915527804,6.88779243736699,5.6664805165458e-12,3.72174440326728e-10
"Heatr9",43.9505986973168,6.00868715239283,0.872747573534498,6.8847938792411,5.78712667748502e-12,3.78416628495016e-10
"Tnfsf10",96.6897061819093,7.1855865442882,1.04460261003536,6.87877521581623,6.03693293983082e-12,3.93012312708457e-10
"Gpr68",264.007755687927,2.42649315704532,0.352924694957396,6.87538500908314,6.18226590181334e-12,4.0070844516227e-10
