"","Gene_name","P4_5_1","P4_5_2","P4_5_3","P7_4_1","P7_4_2","P8_4_3","P8_4_4","P8_4_5"
"39","1110017D15Rik",6.67611100151662,6.76939409468892,-2.295662725892,7.52999849215541,2.79549008119183,3.16948245312424,24.4678228294208,4.16160364958443
"40","1110018N20Rik",0.888169308324004,-1.85916027274616,1.61858698408261,0.200281255373793,4.34316297133497,4.45618828940275,1.0762835743326,-4.6958042028273
"41","1110019D14Rik",2.23085968895245,-36.6585391747684,-2.07550304131198,-18.5036811569416,-13.0109852067855,-16.3058910764901,-143.493933877017,-28.0409148862639
"42","1110020A21Rik",0.124761159891058,-5.70110896018497,-1.37403585332347,-0.664818425861151,-3.36531079192943,11.4857882513625,1.0762835743326,1.57665548635848
"43","1110032A03Rik",-25.8254679124428,-89.8289685305737,-51.7363497763685,-53.3357583535058,-48.582790070452,-207.0090427099,-673.633385811572,-69.2059238927407
"44","1110034G24Rik",-16.0191241498833,-14.248678477611,-15.3497191413792,-65.2970162923481,-28.0858505419555,-59.5452117221105,27.6078775820122,8.59376665486124
"45","1110035H17Rik",-0.606954061302599,19.9420360017759,0.0030754586460553,-15.0878056761035,-15.2309610871238,14.3572353142032,1.0762835743326,-8.60328066247536
"46","1110037F02Rik",-126.067199463465,5.55599293656178,199.481077143695,-19.2150262593991,-115.187287728944,99.3681800300574,-263.562963303532,91.2678479135957
"47","1110038B12Rik",69.7178376481265,-62.0358701130176,-196.035088547383,130.789280171912,10.872140339683,-30.5564114935401,-1063.41228558262,-80.4306251345215
"48","1110038F14Rik",464.781608021072,486.808387820238,433.327471135557,450.737265456045,409.169696619875,100.593873870956,344.827154426847,165.278266711948
"49","1110046J04Rik",14.8385358307715,2.25244697493423,20.4334345363168,16.3145650368097,-8.82961147752019,11.0344807229194,103.710035119544,-0.266379891843172
"50","1110051M20Rik",-3.34643527733147,14.3921320131171,-61.3958011068706,14.6790325753684,-29.6738522752008,36.8031162570085,-65.5215573289145,9.99975370479956
"51","1110054M08Rik",-8.36378615645702,-11.4164323510158,-23.7101650209021,-36.595705663652,-32.5253278903415,-6.51375089168516,22.4722438007971,-20.7629012145034
"52","1110057K04Rik",22.1955153512181,-114.052312128415,-79.2805903594585,-154.365970805433,-33.4974871222607,-106.046758228012,-255.491558866869,41.4169688814022
"53","1110058L19Rik",-24.8041115751514,-17.2312567563674,-44.1890947679418,-21.1573344475609,-73.2620521527949,-35.8471437515456,-434.61863117536,-80.2439530668066
"54","1110059E24Rik",61.9833208954987,34.4465950186653,38.5300059895039,-61.1049409323113,85.209308416145,-0.677630094469578,-278.771376533831,-19.0508946278885
"55","1110059G10Rik",-5.91107597682952,-37.674268320555,-10.2340297651419,7.57178487292782,-0.88058897777347,-55.8311950690088,-340.376640994216,-75.9224929131522
"56","1110065P20Rik",-14.0442021007232,-56.8792736142004,-114.100121858488,44.6765509511688,-43.67028080067,-33.0846035287004,-151.15995195448,-33.7914267241136
"57","1190002N15Rik",-397.147077701662,-466.782332888329,-353.759007058208,-602.126826122664,-700.478077999099,-235.935493339481,-225.166417860003,-387.172135215205
"58","1190005I06Rik",-6.16864049287604,-15.5357910347163,-5.96536130510747,-5.12662342766989,-12.51944957817,-16.8217401467647,5.0651198346319,-2.92786865044338
"59","1190007I07Rik",20.7155246584837,-5.60117153598154,-36.9843811209693,5.4715685548322,-23.8570312426005,-15.9132914110624,-130.47841838164,2.56174068414849
"60","1200007C13Rik",-0.0465341163258852,5.69637081663636,2.9590050152888,1.96664658579081,-6.83262945102585,12.5761942549272,7.90715857401543,-9.32876128174367
"61","1200014J11Rik",15.0487988848682,-42.0305341816861,-31.5946054223515,-68.587532630869,-122.227727669998,-9.67873726960306,-116.252556809609,-120.754544660804
"62","1300002E11Rik",11.1294045103452,-28.0093073820618,-3.73836584127841,0.890171509698405,-60.4493891902274,-31.724847264555,-75.0281957601469,-54.0652444187929
"63","1300017J02Rik",-3.7620807567625,5.85962895804882,-0.573146816811485,5.96391441711219,5.82488658416896,4.75422367968637,1.0762835743326,7.50345599403416
"64","15-Sep",590.492574148098,-646.889375253657,380.141742093134,-717.658074685878,359.155945051676,-1006.64337976156,-2046.02613312178,-406.013901484461
"65","1500002C15Rik",-18.3113591442483,-36.0800284645018,-35.1243184647736,-34.9294809609219,-31.5655050058649,-25.3200032128654,40.4823651842223,-6.86402997775423
"66","1500004A13Rik",-45.811287898799,-54.4670182000078,-59.2745906318464,-109.979040970175,-40.4548978582878,-61.9882027073949,-40.9489783022121,16.6423779793089
"67","1500009L16Rik",181.227808712848,157.639222593072,107.71782545855,142.669408840205,166.240090119397,109.368658480064,-297.582398744339,58.8786696313845
"68","1500011B03Rik",-24.3110985827854,-16.8827746068765,-80.4369592609769,-60.8184967382304,-40.023143604575,31.7593660730739,-54.6652820212859,45.702540319611
"69","1500011K16Rik",-26.594907708074,-32.2363549259859,-40.2566045290802,-4.3727585136055,-11.8950665703551,-71.5912143419117,-108.98234555179,-50.0894434466486
"70","1500012F01Rik",126.465886086951,29.586340302651,5.76450326436111,195.221050096859,224.636985618843,52.8871808426786,-643.993657505052,-167.217882935847
"71","1500012K07Rik",4.53391477427179,-7.10538666461108,-1.02555579756643,-0.564677798174253,2.96344722566797,-10.9842817459394,1.0762835743326,-13.9302947987046
