gene,log2FC,pvalue,adjusted_pvalue
Nfe2l1,0.578422711543184,3.47732298367951e-07,1.8151625974807e-05
H2-K1,1.82704691427215,3.51930021075429e-07,1.83086837653396e-05
Asic3,1.69222748530747,3.54962082388826e-07,1.84042461505237e-05
Lyl1,-3.89903781884863,3.77471212348378e-07,1.95056348958143e-05
Gadd45b,1.27268868108456,3.79794451684182e-07,1.95600493695141e-05
Ets1,0.95752188167082,3.83729649553792e-07,1.96968429115961e-05
Nol10,0.672780906134078,3.98636220072874e-07,2.03940171192764e-05
Rab20,1.54841748559031,4.43583796627398e-07,2.26183671664414e-05
Fpr2,4.4256730193121,4.47932216819635e-07,2.27647135538137e-05
Cd300lb,-3.60114327192652,4.5101060922544e-07,2.27782661665209e-05
Fry,-1.15145405833389,4.51157294680749e-07,2.27782661665209e-05
Lamb3,2.72713789299165,4.63375698301277e-07,2.33187005821613e-05
Uba7,2.36884572265552,5.00842864980649e-07,2.51220823382313e-05
Psmb9,2.74505391912775,5.06745679546987e-07,2.5335638699169e-05
Slc41a2,0.881721511317867,5.44768605516176e-07,2.71485170108207e-05
Il4ra,0.95736136867865,5.94722983090213e-07,2.95423845696974e-05
Dtwd1,1.07356864423457,6.28133404852534e-07,3.1101692287216e-05
Tsc22d3,-0.615724247479784,6.61990389557312e-07,3.26730448999777e-05
Cnr2,-4.12206714781213,6.8607397229219e-07,3.37535242790014e-05
Mdn1,0.704789437724298,7.55786480121035e-07,3.7064828048993e-05
Lad1,3.93274182155648,7.6961547960635e-07,3.75041416786651e-05
Pou3f1,3.63765923577601,7.6799611802942e-07,3.75041416786651e-05
Map4k4,0.485913569303026,8.04203293979122e-07,3.90660142712445e-05
Tyk2,1.22456447694066,8.11105680682187e-07,3.92774099900157e-05
Vegfc,1.29917173045237,8.72937673009518e-07,4.21390822152776e-05
Stip1,0.641035113441714,9.13354561480795e-07,4.39523340382586e-05
Trim34a,2.13717383584092,9.30948607485429e-07,4.46594317964739e-05
Mlkl,1.52111882522385,9.78413260889845e-07,4.67906391442321e-05
Usp43,2.68043639742466,9.83692069790137e-07,4.68974432900877e-05
Tap2,1.49744155621463,1.02451906718374e-06,4.8693114554205e-05
Fgf7,1.98543567614899,1.04461850479262e-06,4.94515290281908e-05
Ehd1,1.03715606490758,1.04689904949608e-06,4.94515290281908e-05
Dixdc1,-1.12837297384288,1.10136636355025e-06,5.18652618725086e-05
Eepd1,-2.36472888190059,1.41478861713351e-06,6.64217375464599e-05
Mapk11,1.32111157456038,1.4606196282912e-06,6.83649898360371e-05
Ephb3,-1.62463686942354,1.48859142321222e-06,6.94630888668029e-05
Ifi35,1.64549981975522,1.50145942116517e-06,6.98518840680438e-05
Ddx58,1.86116219515573,1.50637190116999e-06,6.98693400786648e-05
F10,3.64926730352512,1.55785640444235e-06,7.20403326486721e-05
Slc7a7,1.50174709100989,1.60250790500299e-06,7.38832911052128e-05
Ube2e2,0.495994821002849,1.73168840626595e-06,7.96008052778788e-05
Gnl1,0.422621426632321,1.75604566369381e-06,8.0480199926253e-05
Sp140,2.69690442697877,1.93655679324537e-06,8.84897271785919e-05
Cdc37,0.469177696691349,1.98993509619549e-06,9.06597945157231e-05
Marco,4.61680894142961,2.30159855447698e-06,0.0001045496051338
Jak2,1.31354021816856,2.36199456608618e-06,0.0001069775127151
Cfb,2.34879332651421,2.37134995519358e-06,0.0001070862696774
Prokr2,3.83915420520288,2.38146861249159e-06,0.0001072287577887
Gsap,2.16835726205488,2.43966732729317e-06,0.0001095289713498
Vipr1,2.18591498084264,2.58067385777488e-06,0.0001155226649298
Rab3il1,-2.15959512403313,2.6365765864995e-06,0.0001176830227695
Gfpt2,1.79248238789228,2.73797380786096e-06,0.000121855660888
Sntb1,1.3891149991016,2.75876379016532e-06,0.0001224270997255
Znfx1,1.70317905922741,2.84263298267679e-06,0.0001257865094834
Trib1,1.08976204148189,3.00445388592258e-06,0.0001325661472473
Dhrs3,-1.53604814783215,3.24925393002551e-06,0.0001429578893384
Pwp2,0.635030680230344,3.4821737760685e-06,0.0001527692136116
Stk40,0.885822439418752,3.51041735755529e-06,0.0001535707866164
Mvp,0.566986779903676,3.59409312455811e-06,0.0001567859490795
Vnn3,3.78043247603476,3.63727489789417e-06,0.0001582214580583
Tnfrsf1b,2.04616859585633,4.40874370592484e-06,0.0001912401248663
Rhob,0.832079088062951,4.43442440586125e-06,0.0001918137680501
Idnk,0.759386775393599,4.54175035969867e-06,0.0001959059209775
Oas1g,3.70430870000811,4.5952812576142e-06,0.0001976612739832
Stap2,1.70810270316024,4.98025682762273e-06,0.0002136238854834
Znrf1,0.988539737894945,5.04416794795944e-06,0.0002157642839739
Trim25,1.82325343259003,5.0947048614441e-06,0.0002173223273168
C3,4.17495111614086,5.26821841160678e-06,0.0002241030257467
Mycl,2.19927473076437,5.39887633233457e-06,0.0002290283654039
4930523C07Rik,1.08121616690734,5.43087123130429e-06,0.0002297527090408
Ppp1r3c,-2.48123783658565,5.47841768447937e-06,0.0002311291888309
Denr,0.862904455035377,5.5656331027243e-06,0.0002341671698056
Batf,2.26318317539824,5.64835107000131e-06,0.0002369998859044
Hivep2,1.06159269911769,5.82573988830334e-06,0.0002437787188586
Serpinb8,-1.18765521871365,5.97278443270793e-06,0.0002492544918137
4933402J15Rik,3.14962564358372,6.12124405848739e-06,0.0002547595601531
Zc3hav1,1.60702564572134,6.1932735049441e-06,0.0002570625841041
Ralb,0.678264550895015,6.33369887930633e-06,0.0002621844866732
Ttpal,0.296289973901636,6.61062737186007e-06,0.0002729143455744
Sash3,-3.0256037029713,6.70806146537707e-06,0.0002761963596399
Slc4a7,0.886449912520053,7.15779140847242e-06,0.0002939275463975
Klhl2,0.646895028478574,7.74286996444675e-06,0.0003171075919747
Polr3e,0.416803964963632,7.98638097354672e-06,0.0003262129459194
AA467197,2.77174588047796,8.11879429052726e-06,0.000330744215026
Cx3cr1,-2.83275600449292,8.36026048149101e-06,0.0003396824568719
Slc7a11,2.75233490965035,8.48153345851583e-06,0.0003437029834939
Pdpk1,-0.269457339443973,8.66002637346229e-06,0.0003500150816927
Ski,-0.651178886395969,8.76213480068949e-06,0.0003532149575806
Cmya5,-1.62455835681951,9.02105845313732e-06,0.0003627030786419
Mfhas1,0.912001592587087,9.2328509366331e-06,0.0003692900560343
